UBIGEO,UBIGEO_INEI,DEPARTAMENTO,PROVINCIA,DISTRITO,pobreza_inf_2018,pobreza_sup_2018,pobreza_mid_2018,grupo_robusto,rank_pobreza,pob2020,valid_candidates,jpp_votes,fp_votes,rp_votes,jpp_share,fp_share,rp_share,jpp_minus_fp_share
020109,020109,Áncash,Huaraz,Pampas Grande,32.572401400000004,59.98617660000001,46.279289000000006,8.0,483.0,998.0,518,112,76,15,0.21621621621621623,0.14671814671814673,0.02895752895752896,0.0694980694980695
020110,020110,Áncash,Huaraz,Pariacoto,20.42224784,43.64695816,32.034603,11.0,1009.0,5235.0,2341,664,699,56,0.28363947031183256,0.29859034600598033,0.02392140111063648,-0.01495087569414777
020111,020111,Áncash,Huaraz,Pira,29.004868800000004,51.6515712,40.32822,9.0,698.0,3489.0,2022,518,430,35,0.2561819980217606,0.21266073194856577,0.01730959446092977,0.04352126607319484
020112,020112,Áncash,Huaraz,Tarica,18.442534400000003,36.718985599999996,27.580759999999998,12.0,1175.0,7529.0,3365,834,580,127,0.24784546805349184,0.1723625557206538,0.03774145616641902,0.07548291233283805
020201,020201,Áncash,Aija,Aija,11.35929336,30.12838664,20.74384,15.0,1411.0,2182.0,956,164,173,17,0.17154811715481172,0.1809623430962343,0.01778242677824268,-0.009414225941422577
020203,020202,Áncash,Aija,Coris,27.4290088,53.0087532,40.218880999999996,9.0,701.0,1649.0,709,168,200,10,0.23695345557122707,0.2820874471086037,0.014104372355430184,-0.0451339915373766
020205,020203,Áncash,Aija,Huacllan,13.40872424,40.88980976,27.149267,12.0,1182.0,358.0,283,58,28,8,0.2049469964664311,0.0989399293286219,0.028268551236749116,0.1060070671378092
020206,020204,Áncash,Aija,La Merced,26.391217,52.884145000000004,39.637681,9.0,731.0,1517.0,1106,190,254,36,0.1717902350813743,0.22965641952983726,0.0325497287522604,-0.05786618444846295
020208,020205,Áncash,Aija,Succha,11.978176640000001,34.116243360000006,23.047210000000003,14.0,1341.0,727.0,360,59,77,13,0.1638888888888889,0.21388888888888888,0.03611111111111111,-0.04999999999999999
020301,020501,Áncash,Bolognesi,Chiquian,9.385322759999998,25.45916124,17.422241999999997,16.0,1520.0,4087.0,1622,189,225,61,0.11652281134401973,0.13871763255240444,0.0376078914919852,-0.022194821208384702
020302,020502,Áncash,Bolognesi,Abelardo Pardo Lezameta,14.67518716,30.79963284,22.73741,14.0,1351.0,215.0,101,9,19,9,0.0891089108910891,0.18811881188118812,0.0891089108910891,-0.09900990099009901
020304,020504,Áncash,Bolognesi,Aquia,17.53767036,39.38043564,28.459053,12.0,1148.0,2079.0,973,203,236,19,0.20863309352517986,0.24254881808838644,0.019527235354573486,-0.03391572456320657
020305,020505,Áncash,Bolognesi,Cajacay,13.566281,30.539587,22.052934,14.0,1378.0,1868.0,834,162,241,24,0.19424460431654678,0.28896882494004794,0.02877697841726619,-0.09472422062350117
020310,020510,Áncash,Bolognesi,Huayllacayan,32.42247484000001,61.229167159999996,46.825821000000005,8.0,468.0,1365.0,495,74,36,15,0.1494949494949495,0.07272727272727272,0.030303030303030304,0.07676767676767676
020311,020509,Áncash,Bolognesi,Huasta,24.306224000000004,48.199604,36.252914000000004,10.0,862.0,1341.0,737,124,125,13,0.16824966078697423,0.16960651289009498,0.017639077340569877,-0.0013568521031207537
020313,020512,Áncash,Bolognesi,Mangas,23.15890052,43.462199479999995,33.31055,11.0,970.0,515.0,276,29,45,13,0.10507246376811594,0.16304347826086957,0.04710144927536232,-0.05797101449275363
020315,020513,Áncash,Bolognesi,Pacllon,14.67518716,30.79963284,22.73741,14.0,1352.0,874.0,441,149,18,8,0.3378684807256236,0.04081632653061224,0.018140589569160998,0.29705215419501135
020317,020514,Áncash,Bolognesi,San Miguel De Corpanqui,14.67518716,30.79963284,22.73741,14.0,1353.0,471.0,140,11,34,5,0.07857142857142857,0.24285714285714285,0.03571428571428571,-0.16428571428571428
